Date,Diagnosis,Mean CBL Pressure (hpa),Wind Direction at max 10 min mean (deg),Highest Gust (kt),Maximum Air Temperature (C),Highest ten minute mean wind speed (kt),Minimum Air Temperature (C),Potential Evapotranspiration (mm),Precipitation Amount (mm),Soil Moisture Deficits (mm),moderately drained Soil Moisture Deficits (mm),poorly drained Soil Moisture Deficits (mm),well drained Mean 10cm soil temperature (C),Sunshine duration (hours),Mean Wind Speed (kt)
28-01-03,0,1010,280,47,6,31,3.5,0.8,6,-4.5,-10,0,5.3,1.3,22.9
29-01-03,0,1011.7,290,34,5.8,21,2.5,0.6,0,0.6,-8.9,0.6,4.375,5,14.1
30-01-03,0,1011.8,340,37,5.2,22,-1.6,0.4,3.8,-2.7,-10,0,3.7,6.7,14.2
31-01-03,0,1012.2,230,31,5.3,21,-1.9,0.3,0.4,-0.1,-9.6,0,2.325,0.1,11.1
01-02-03,0,1000.9,250,30,7.5,22,2.4,0.5,0.3,0.2,-8.9,0.2,3.85,6.6,14.3
02-02-03,0,990.7,260,42,5.8,30,0.7,0.7,0.2,0.6,-8,0.6,3.725,0.6,20.4
03-02-03,0,985.2,250,32,4.3,23,-0.4,0.6,0.1,1.1,-7.1,1.1,2.575,3.5,16.3
04-02-03,0,994.6,280,26,4.2,19,-1,0.5,0,1.6,-6.2,1.6,2,7.6,13.2
05-02-03,0,1004.2,270,16,6.3,12,-0.5,0.5,0,2.2,-5.4,2.2,2.375,6.5,6.4
06-02-03,0,1001.7,230,26,10.8,19,3.4,0.6,0.6,2.2,-5.1,2.2,4.375,2.3,10.2
07-02-03,0,1005,220,25,11,16,4.9,0.7,0,2.8,-4.2,2.8,5.475,0.3,8.7
08-02-03,0,1001.3,220,29,10.6,18,6.3,0.7,3.5,0,-6.8,0,6.325,0,12
09-02-03,0,1004,270,23,7.5,17,1,0.5,0.9,-0.4,-6.9,0,5.325,8.3,9
10-02-03,0,1002.7,170,30,10.6,19,2.6,0.8,2.4,-1.6,-8.1,0,4.8,0,11.9
11-02-03,0,1012.3,260,23,9,18,-0.1,0.5,0,0.5,-7.3,0.5,4.9,7.9,7.7
12-02-03,0,1020,270,11,9.4,9,-1.2,0.5,0,1,-6.4,1,3.65,7.9,4.2
13-02-03,0,1017.1,140,17,7,11,-2.1,0.4,0,1.4,-5.7,1.4,3.525,5.7,5.5
14-02-03,0,1020.5,40,16,4.6,11,-3.5,0.3,0,1.7,-5.1,1.7,3.65,0,6.1
15-02-03,0,1024.3,140,24,5.9,17,-5.1,0.6,0,2.2,-4.2,2.2,2.2,8.9,6.9
16-02-03,0,1022.9,140,28,5.9,19,1.9,0.9,0,3.1,-3.2,3.1,2.525,0,12.7
17-02-03,0,1021.9,150,36,4,26,-1.2,0.7,0,3.8,-2.3,3.8,2.525,7.9,13.8
18-02-03,0,1010.7,150,38,4.3,26,1.3,1.3,0,5,-0.9,5,2.3,2.5,21
19-02-03,0,1000.8,140,33,5.1,23,0.9,1,0,5.9,0.1,5.9,2.45,2.4,12.2
20-02-03,0,999,140,17,6.2,10,0.7,0.5,0.9,5.5,-0.3,5.5,2.9,0,5
21-02-03,0,1005.5,140,20,11.5,13,3.9,0.9,0,6.3,0.6,6.3,4.625,4.8,8
22-02-03,0,1003.8,120,38,9.1,28,4.7,1.2,0,7.4,1.8,7.4,4.7,8.4,16.5
23-02-03,0,1004,130,34,12.3,26,3.8,1.2,0.4,8.2,2.6,8.2,5.8,8.1,12.6
24-02-03,0,1007.5,120,27,8.9,19,0.5,0.5,0,8.7,3.1,8.7,4.925,1.4,11.3
25-02-03,0,1000.8,120,27,8.4,18,6.8,0.8,0,9.4,3.9,9.4,5.65,0,11.2
26-02-03,0,996,130,27,8.9,19,7.1,0.8,6.1,4,-1.5,4,6.3,0.1,12.4
27-02-03,0,997.2,130,19,9.9,14,6.1,0.7,0.7,3.9,-1.4,3.9,7.025,0.8,8.5
28-02-03,0,992.8,270,41,9.3,26,4.8,0.6,4.8,-0.3,-5.5,0,6.725,0,16.1
01-03-03,0,994.5,190,20,10.5,13,3.3,0.8,9.8,-9,-10,0,5.725,0.2,7.7
02-03-03,0,999.1,250,22,11,15,1.7,1.1,0.8,0.3,-9.2,0.3,5.325,8.2,8.5
03-03-03,0,999.4,140,32,11.1,22,1.9,0.8,1.4,-0.3,-9.3,0,5.275,0,12.3
04-03-03,0,992.8,190,36,13.1,24,6.1,1,0.7,0.3,-8.6,0.3,7.8,0.4,14.5
05-03-03,0,997,240,26,11.4,18,3.5,1.4,0,1.6,-6.8,1.6,6.825,4.5,11.1
06-03-03,0,1002,230,25,11.4,17,2.9,1.5,0,3.1,-5,3.1,5.775,6.9,12
07-03-03,0,993.7,260,36,9.1,24,4.3,1.1,1,3.2,-4.6,3.2,6.625,2.7,15.4
08-03-03,0,996.8,220,42,11.6,27,3.5,0.9,3.9,0.1,-7.4,0.1,6.8,0,16.6
09-03-03,0,994.3,210,45,12.1,28,8.6,1.5,0.9,0.7,-6.4,0.7,7.9,0.8,20.5
10-03-03,0,996.6,220,48,10.8,31,5.5,1.3,7.1,-5.1,-10,0,7.225,3.8,19.5
11-03-03,0,1004.2,250,39,12.1,29,3.6,1.5,0.6,0.9,-8.6,0.9,7.175,7.2,18.3
12-03-03,0,1022.2,60,23,8.2,18,1.8,1.4,0,2.3,-6.7,2.3,5.9,9.9,9.6
13-03-03,0,1026.7,100,19,7,13,0.6,1.1,0,3.5,-5.2,3.5,4.95,5.3,8.2
14-03-03,0,1022.3,130,22,8.6,15,0.8,1.2,0,4.7,-3.7,4.7,5.075,9.2,8.1
15-03-03,0,1024.9,130,25,9.4,17,0.4,1.4,0,6,-2.1,6,5.4,8.8,9.6
16-03-03,0,1028,130,24,10.4,18,0.7,1.6,0,7.5,-0.4,7.5,5.025,9.3,8.3
17-03-03,0,1025.7,70,14,12.4,10,0.4,1.3,0,8.8,0.9,8.8,5.725,9,6.3
18-03-03,0,1022.9,80,14,12,10,-1.4,1.2,0,9.9,2.1,9.9,6.2,6.7,4.8
19-03-03,0,1020.8,250,10,9.4,8,-2.1,1,0,10.7,3.1,10.7,6.6,4.5,2.8
20-03-03,0,1019.1,270,16,11,13,2.7,1.1,0.1,11.6,4,11.6,6.575,1.8,7
21-03-03,0,1015,130,18,12.7,13,1.4,1.4,0,12.8,5.4,12.8,7.75,6.2,5.4
22-03-03,0,1010.8,140,21,11.3,14,-0.8,1.3,0,13.9,6.7,13.9,6.925,8,5.8
23-03-03,0,1009.8,130,19,13.1,13,-2.3,1.4,0,15.1,8,15.1,6.9,7.3,4.9
24-03-03,0,1009.5,240,16,14.6,12,2.6,1.6,0.1,16.4,9.5,16.4,8.125,8.1,5.6
25-03-03,0,1011.5,240,17,14.1,12,4.2,1.5,0,17.7,11.1,17.7,8.725,2.6,5.5
26-03-03,0,1009.8,120,14,13.1,11,0.7,1.5,0,19,12.6,19,8.85,8.4,5.4
27-03-03,0,1007.8,60,13,13.5,9,3.4,1.7,0,20.4,14.2,20.4,8.975,9.8,5.1
28-03-03,0,1004.2,330,11,12.7,8,3.7,1,0.7,20.5,14.5,20.5,8.3,0,4.2
29-03-03,0,1007.2,340,17,13.4,13,3.4,1.8,0,22,16.2,22,9.825,9.4,7.2
30-03-03,0,1013.3,350,20,12.6,12,1.5,1.5,0,23.2,17.6,23.2,8.825,4.1,6.9
31-03-03,0,1009.8,220,28,14.6,19,-0.9,2,0,24.8,19.5,24.8,8.3,9.1,9.1
01-04-03,0,1001.3,290,43,11.4,30,3.6,1.7,4.1,22,16.9,22,8.875,6.8,20.1
02-04-03,0,1011.2,330,34,12.7,22,3.5,1.7,0.5,22.8,18,22.8,7.5,6.6,13.2
03-04-03,0,1019.9,300,20,13.6,14,6.5,1.2,0.1,23.7,19,23.7,9.25,1,8.4
04-04-03,0,1024.3,310,20,17.4,15,5,2.1,0.2,25.2,20.7,25.2,10.1,7.5,9.6
05-04-03,0,1024.1,90,12,13.7,7,3.7,1.6,0,26.4,22.2,26.4,11.25,5.5,3.4
06-04-03,0,1019.4,100,15,8.7,10,3.9,0.8,0,27,22.9,27,9.625,0,5.7
07-04-03,0,1014.5,150,24,10.8,16,5.2,1.5,0,28.1,24.2,28.1,9.4,2.7,8.6
08-04-03,0,1012.8,130,19,10,13,0.9,1.8,0,29.5,25.8,29.5,9.45,9.2,6.4
09-04-03,0,1008.2,130,18,10.6,8,-1.4,1.8,0,30.8,27.3,30.8,9,8.8,4.6
10-04-03,0,1003.2,100,17,7.6,12,-0.5,1.9,0,32.2,28.8,32.2,9.025,11.2,6.4
11-04-03,0,999.5,140,10,9.1,6,-2.4,1.2,0,33,29.8,33,7.55,4,3.1
12-04-03,0,1002.2,130,21,10.7,10,2.4,1.7,0,34.2,31.2,34.2,8.45,3.7,5.8
13-04-03,0,1001.6,120,35,11.3,27,1.5,0.9,0.2,34.6,31.7,34.6,7.825,0,12.9
14-04-03,0,999.7,120,19,15.2,13,8.1,2.1,0.7,35.3,32.6,35.3,10.125,5.7,6.9
15-04-03,0,1005.7,130,23,17.5,17,5.9,2.6,0,37.1,34.6,37.1,11.575,10.5,8.5
16-04-03,0,1012.1,130,21,18.4,16,7,2.8,0,38.9,36.7,38.9,12.55,10.9,7.5
17-04-03,0,1017.8,90,18,18.1,13,6.1,2.9,0,40.8,38.8,40.8,12.65,12.7,6.8
18-04-03,0,1020.6,70,25,14.8,17,6.1,2.6,0,42.5,40.7,42.5,12.1,11.3,10.2
19-04-03,0,1014.5,80,33,11.8,24,7.1,2.7,0,44.1,42.5,44.1,11.475,12.4,15.1
20-04-03,0,1005.2,60,33,12.1,23,6.6,2.3,0,45.5,44.1,45.5,10.8,2.4,15.5
21-04-03,0,998.7,70,23,10,16,5.6,0.9,1.6,44.4,43.1,44.4,9.875,0,8.4
22-04-03,0,1003.5,140,18,14.6,12,3.1,2.1,0.1,45.6,44.4,45.6,10.625,5.6,7.2
23-04-03,0,1007,80,21,12.7,13,2.5,2.2,0,46.9,45.8,46.9,10.775,12.2,7.8
24-04-03,0,1002.5,140,24,11.4,16,7.4,1.1,2.7,44.8,43.9,44.8,10.075,2.1,10.3
25-04-03,0,994.9,110,40,15.1,27,8.3,1.8,5.1,40.8,40,40.8,10.25,4.1,14.9
26-04-03,0,987.1,240,33,15.5,21,8.1,2.6,2.6,39.8,39.2,39.8,10.65,6.6,12.6
27-04-03,0,986.7,240,32,15.8,23,7.6,2.7,1.4,40.2,39.7,40.2,10.95,6.2,13.2
28-04-03,0,979.2,60,28,12.8,19,7.3,1.4,16,25,24.7,25,11.05,0.2,11.7
29-04-03,0,987.7,190,24,15.4,17,5.7,2.4,1.1,25.7,25.6,25.7,11.225,6.7,8.5
30-04-03,0,990.1,220,26,13.6,18,5.5,2.2,0.6,26.8,26.8,26.8,11.075,7.2,9
01-05-03,0,994.5,230,25,14.4,18,5.3,2.1,4.8,23.6,23.8,23.6,11.775,6.7,9.5
02-05-03,0,995.8,290,32,13.8,21,5.3,2,2,23.2,23.5,23.2,11.2,4,8.5
03-05-03,0,997.2,200,35,13.1,22,2.8,1.1,1.2,22.9,23.2,22.9,9.675,0.3,12.2
04-05-03,0,991.3,220,31,13.5,20,7.4,1.2,11.3,12.5,13,12.5,10.35,0.1,8.4
05-05-03,0,998.2,270,30,12.8,22,5.1,2.5,1.4,13.4,14.1,13.4,10.6,9.6,14.2
06-05-03,0,1010.3,240,26,14.1,18,4,2.2,0.5,14.8,15.7,14.8,10.375,6.8,12.6
07-05-03,0,1007.3,200,40,15.6,28,6,2,0,16.5,17.6,16.5,11.4,2.4,13.9
08-05-03,0,1006.8,270,29,14.4,20,4.3,3,0,19.1,20.3,19.1,12.075,10.1,12.9
09-05-03,0,1006.7,270,35,12.8,26,3.4,2.3,0.9,20,21.4,20,10.9,9.3,11.7
10-05-03,0,1004.4,230,29,14.6,19,3.9,2.7,0.5,21.8,23.4,21.8,10.975,9.9,10.4
11-05-03,0,1001.2,260,36,14.2,24,5.4,2.6,3.5,20.4,22.1,20.4,11.35,9.5,12
12-05-03,0,1001.9,260,26,12.3,19,3.8,2.6,0.9,21.6,23.5,21.6,9.975,8.8,12.6
13-05-03,0,1007.6,300,36,13.2,22,3.9,2.8,1.2,22.6,24.8,22.6,9.875,12.4,15.2
14-05-03,0,1012.7,280,19,13.5,13,2.8,2.5,0,24.7,26.9,24.7,10.25,9.9,8.2
15-05-03,0,1006,130,30,12.1,21,2.1,1.7,11.5,14.5,16.8,14.5,10.675,5.1,12.8
16-05-03,0,995.4,140,26,15.5,18,9.3,1.5,8.9,6.9,9.3,6.9,11.95,0.8,9.6
17-05-03,0,987.8,210,26,16.2,18,9.9,2,3.9,4.8,7.4,4.8,12.25,2.3,9.3
18-05-03,0,988.8,240,35,14.8,23,8.2,2.5,5.1,2.1,4.8,2.1,12.125,5.8,12.9
19-05-03,0,991.7,250,39,12.4,27,6.7,1.9,6.3,-2.4,0.3,0,10.975,2.2,15.8
20-05-03,0,1001.5,260,38,13.9,26,8.1,2,9.9,-7.9,-7.5,0,11.025,4.2,17.7
21-05-03,0,1007.4,250,31,15.4,22,7.2,1.3,6.6,-5.3,-10,0,11.575,0,11.5
22-05-03,0,1001.9,250,35,18.3,25,10.4,2.7,0.7,2,-7.5,2,13.425,2.9,16.9
23-05-03,0,993.6,230,32,15.3,22,8.6,2.5,9.3,-4.9,-10,0,12.625,4.3,14.4
24-05-03,0,997.4,300,31,14.4,22,8,2.4,0.4,2,-7.5,2,12.325,7.1,13.5
25-05-03,0,1005.8,310,21,15.2,14,8.2,2.8,0.2,4.6,-4.5,4.6,12.575,3.9,10
26-05-03,0,1009.4,250,17,15.7,12,6.2,1.8,1.1,5.2,-3.6,5.2,13.325,0.9,5.8
27-05-03,0,1011.7,150,14,17.6,9,11.7,1.8,0.5,6.4,-2.1,6.4,14.55,0,5.9
28-05-03,0,1011.3,230,17,16.2,12,11.5,1.8,1.7,6.5,-1.8,6.5,14.525,0.1,6.1
29-05-03,0,1008.6,120,16,18.2,12,9.6,2.6,3.1,5.8,-2.2,5.8,15.575,2.7,5.7
30-05-03,0,1004.1,140,22,22.1,15,9.6,3.7,0,9.4,1.6,9.4,16.55,12.2,6.7
31-05-03,0,999.3,240,19,20.5,12,11.3,3.4,0,12.5,5,12.5,17.175,5.1,6.1
01-06-03,0,994.8,160,25,17.4,18,10.4,2,4.6,9.6,2.4,9.6,15.75,0.6,10.3
02-06-03,0,994.8,220,28,18.6,20,9,4,0,13.3,6.4,13.3,15.4,12.1,10.9
03-06-03,0,993.2,150,32,14.1,23,8.4,1,5.5,8.6,1.8,8.6,13.975,0.1,11.5
04-06-03,0,998.3,140,24,14.8,15,9.2,2.2,1.2,9.4,2.8,9.4,13.95,3.5,7.3
05-06-03,0,1000.4,180,31,17.6,20,10,2.6,0,11.8,5.4,11.8,14.375,5,12.7
06-06-03,0,999.8,230,26,20.4,18,11.9,4,0,15.4,9.4,15.4,16.1,9.9,10.2
07-06-03,0,1000.2,200,25,18.7,17,10.1,3,1.2,16.7,11.2,16.7,15.275,4.2,10.3
08-06-03,0,1000.4,230,21,18.5,15,8.3,3.4,0.1,19.5,14.5,19.5,16.025,8.4,6.8
09-06-03,0,998.2,150,38,14.7,24,7.5,1.5,15.8,5,0.1,5,14.225,2.3,11.8
10-06-03,0,994,200,36,18.5,22,9.7,3.1,11.9,-3.9,-8.7,0,15.05,9.7,14.2
11-06-03,0,1002.3,210,27,17.9,19,8.7,3.2,0,3.2,-5,3.2,14.725,4.7,11.2
12-06-03,0,1008.2,220,25,17.9,18,10.1,3.6,0,6.7,-1.1,6.7,15.075,10.2,11.2
13-06-03,0,1013.2,140,19,17.2,14,8.3,2.9,0,9.4,1.8,9.4,15.45,6,8.1
14-06-03,0,1012,140,17,18.7,12,7.8,3.9,0,13,5.7,13,17.25,13.6,4.9
15-06-03,0,1011.1,260,16,19.3,12,10.6,3,0,15.6,8.7,15.6,17.6,4.7,6.6
16-06-03,0,1005.6,120,19,18.3,14,7.7,3.2,0.2,18.2,11.7,18.2,17.875,11.3,6.7
17-06-03,0,1002.5,260,22,19.6,14,11.6,3.6,0,21.2,15.2,21.2,18.175,6.3,8.1
18-06-03,0,1003.4,250,36,20.5,26,13.6,3.3,0.5,23.4,17.9,23.4,17.65,5,16.1
19-06-03,0,1009.5,250,52,19.8,33,9.4,3.4,0.5,25.5,20.5,25.5,17.475,7.5,15.1
20-06-03,0,1013.2,260,23,17.3,17,9.1,3.2,0,28,23.4,28,16.625,6.9,9.3
21-06-03,0,1006.2,130,25,18.6,15,9.1,2.7,0.4,29.6,25.3,29.6,17.025,3.7,6.7
22-06-03,0,996.6,250,19,19.2,14,11.4,2.4,0,31.3,27.3,31.3,17.3,2.5,7.6
23-06-03,0,1001.8,290,27,17.2,17,9.9,3,0,33.5,29.8,33.5,16.725,3.8,10.2
24-06-03,0,1009.9,140,18,17.7,14,8.7,3.6,0,35.9,32.6,35.9,17.75,13.1,6.8
25-06-03,0,1009.4,130,23,20.8,16,7.9,4.1,0,38.7,35.8,38.7,18.65,13.5,7.4
26-06-03,0,1005.2,140,24,19.6,18,14,3.3,3.1,37.7,35.1,37.7,19.15,5.1,9.1
27-06-03,0,1004.8,260,26,17.6,20,9.2,1.9,7.7,31.3,28.9,31.3,17.4,3,10.6
28-06-03,0,1004.6,130,22,18.1,14,6.5,2.8,0.1,33.2,31.1,33.2,15.725,4.7,7.6
29-06-03,0,998.1,60,29,18,19,9.8,3.1,0,35.4,33.5,35.4,16.225,7.2,11.9
30-06-03,0,992.2,80,28,15.5,19,12.5,1,34,2.1,0.3,2.1,15.8,0,8.9
01-07-03,0,993.2,20,20,18.7,15,12.1,2.3,1.8,2.6,0.8,2.6,15.85,2.2,8.8
02-07-03,0,999.4,320,19,20.3,13,10.6,3.4,0.3,5.6,4,5.6,17.025,8.6,7
03-07-03,0,1004.5,320,21,17.8,13,10.3,2.2,0,7.7,6.2,7.7,16.15,0.6,8.8
04-07-03,0,1008.8,290,18,15.3,11,11.3,1.5,0.1,9,7.6,9,15.25,0,7.5
05-07-03,0,1010.8,280,11,15.5,8,11,1.7,0,10.6,9.3,10.6,15.275,0,4.7
06-07-03,0,1009.8,260,22,20,15,12.5,3,0,13.4,12.4,13.4,16.975,3.7,7.8
07-07-03,0,1008.8,210,27,21,19,14,3.3,0.2,16.1,15.4,16.1,18.425,6,11.6
08-07-03,0,1010,240,18,22.9,13,14.3,2.8,12.4,6.1,5.6,6.1,18.775,3.3,7.1
09-07-03,0,1008,130,20,20.5,12,14.3,2.4,0.1,8.2,7.9,8.2,19.075,1,5.8
10-07-03,0,1005.5,260,30,20.9,22,12.2,3.2,0.3,10.9,10.8,10.9,18.725,6.1,13.2
11-07-03,0,1010.4,260,26,18.4,19,11.3,3.3,0,13.8,14.1,13.8,17.3,4.9,12.1
12-07-03,0,1010.8,250,18,20.5,12,9.7,3.8,0,17.2,17.7,17.2,18.775,13.3,7.3
13-07-03,0,1006.7,120,20,19.8,15,10.5,3.4,0.7,19.3,20.2,19.3,19.25,9.7,7.9
14-07-03,0,1002.8,120,19,23,13,13.3,3.2,0.4,21.5,22.6,21.5,19.65,5.6,5.8
15-07-03,0,999.3,30,16,22.1,13,15,2.3,1.2,22.2,23.5,22.2,19.275,1,4.8
16-07-03,0,996.3,250,16,23.9,12,15.1,3.5,0,25,26.5,25,20.275,6.7,6.4
17-07-03,0,998.8,260,25,17.8,18,14,0.8,3.8,21.9,23.4,21.9,18.65,0,11
18-07-03,0,1003.3,250,25,21.7,18,11.2,3.4,0.9,23.7,25.5,23.7,18.325,9.8,11.6
19-07-03,0,1000.1,180,28,21.1,18,14.3,3.6,0.9,25.6,27.6,25.6,19.1,9,12.3
20-07-03,0,996.2,150,26,20,18,13,3.3,0.1,28.1,30.2,28.1,18.75,8.7,10
21-07-03,0,999,240,25,20.9,17,12.4,3,1.6,28.7,31,28.7,18.675,5.4,8.8
22-07-03,0,1004.2,250,21,18.2,15,12.1,1.9,0,30.1,32.5,30.1,17.4,1,8.7
23-07-03,0,999.6,250,28,20.9,21,12.8,2.6,6.2,25.8,28.3,25.8,17.525,2.8,11.8
24-07-03,0,996.5,200,24,20.2,16,11.4,2.5,1.8,25.9,28.5,25.9,17,2.2,10.4
25-07-03,0,993.5,260,21,20.7,16,12.1,3.1,0.2,28,30.8,28,17.575,6.4,10.3
26-07-03,0,995.9,270,16,18,12,10.2,2.2,0,29.7,32.6,29.7,17.15,1.6,6
27-07-03,0,1000.1,250,26,19.7,20,9.2,2.9,2.4,29.4,32.5,29.4,17.025,5.1,8.9
28-07-03,0,1001.5,240,25,19.6,16,11,1.8,3.6,27.2,30.3,27.2,16.725,0.4,9.5
29-07-03,1,1001.7,250,22,19.7,15,12.9,1.6,3.5,24.8,28,24.8,16.75,0.5,8.5
30-07-03,0,1005.8,300,21,20.6,14,13.8,3,0,27.2,30.5,27.2,17.025,4.8,8.7
31-07-03,0,1002.2,210,24,21.8,17,13.3,2.4,5.1,23.9,27.3,23.9,17.3,1.8,9.4
01-08-03,0,1004.7,260,26,19.5,20,10.5,3.1,0,26.4,29.9,26.4,17.45,6.1,10.6
02-08-03,0,1010.3,250,20,20.9,13,10,3.2,0,28.8,32.5,28.8,17.275,4.1,6.8
03-08-03,0,1012,240,18,21.3,11,12.7,2.8,0.5,30.3,34.1,30.3,18.675,2.2,4.7
04-08-03,0,1013.8,80,17,20.5,14,12.1,3.2,0,32.7,36.6,32.7,19.3,9.7,5.8
05-08-03,0,1011,120,23,25.4,13,14,3.1,0.5,34.4,38.4,34.4,19.875,8.9,6.5
06-08-03,0,1011,300,16,24.9,11,15.1,2.3,0,36,40.1,36,19.775,3,6.3
07-08-03,0,1013.4,270,13,25.7,9,14,3.7,0,38.5,42.6,38.5,21.2,10.1,5.7
08-08-03,0,1010.2,110,16,20.8,11,12.8,2.6,0.1,40,44.3,40,21.05,5.7,5.5
09-08-03,0,1007.7,280,13,24.7,10,14.4,2.3,1,40.5,44.8,40.5,20.85,3.8,5.6
10-08-03,0,1009.4,300,17,22.3,12,11,3.3,1,41.6,45.9,41.6,20.525,9.2,6
11-08-03,0,1012.8,70,14,21.8,9,8.8,2.9,0,43.4,47.8,43.4,19.425,9.8,4.6
12-08-03,0,1012.8,260,14,21.6,10,8.9,2.8,0,45.1,49.5,45.1,19.125,5.4,4.6
13-08-03,0,1012.7,280,19,21.7,13,9.6,3.3,0.1,46.9,51.4,46.9,20.025,12.1,8.9
14-08-03,0,1012.7,300,15,19.9,8,6.5,2.8,0,48.5,53.1,48.5,18.725,13.4,5.2
15-08-03,0,1011.3,90,14,18.8,9,6,2.7,0,50,54.6,50,18.3,10.9,4.5
16-08-03,0,1009.4,140,16,19.4,11,6.8,2.9,0,51.6,56.2,51.6,18.275,13,4.5
17-08-03,0,1003.3,130,24,19.9,17,12.9,2.1,1.1,51.7,56.3,51.7,18.15,1.9,8.7
18-08-03,0,1004.5,250,30,19.6,21,9.1,2.8,0.1,53,57.6,53,17.2,8.2,11.9
19-08-03,0,1009.9,260,24,18.6,17,11.1,2.8,0,54.5,59.1,54.5,17.025,5.6,10.5
20-08-03,0,1009.2,260,21,21,14,10.7,2.9,0,55.9,60.6,55.9,17.525,4.1,9.8
21-08-03,0,1002.7,250,38,22.9,25,13.3,3.1,0.3,57.1,61.8,57.1,18.05,3.1,16.8
22-08-03,0,1004.8,260,22,19.5,17,13.5,1.2,5.5,52.2,56.9,52.2,17.8,0,7.5
23-08-03,0,1010.4,260,19,24.9,15,16.8,2.6,0.1,53.5,58.1,53.5,19.225,5,7.9
24-08-03,0,1012.8,100,14,21.7,11,14.8,2.5,0,54.7,59.4,54.7,19.675,8,6.4
25-08-03,0,1011.5,80,25,18.1,17,14.6,2.2,0,55.8,60.5,55.8,18.575,6.7,12.4
26-08-03,0,1009.1,90,24,17.8,17,12.5,2.1,0,56.9,61.6,56.9,17.95,3.5,12.2
27-08-03,0,1005.8,70,20,18.2,14,7.7,2.3,0,58,62.7,58,18.025,11.4,7.6
28-08-03,0,1001.7,20,28,16.2,19,8,1.3,4.1,54.5,59.2,54.5,15.8,1.4,9.5
29-08-03,0,1005.2,20,26,16.8,19,8.5,2.4,0.1,55.6,60.3,55.6,14.825,8.2,10.9
